country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MX,Mexico,Campeche,,,MX-CAM,,13/03/2020,4,7,5,10,10,-2
MX,Mexico,Campeche,,,MX-CAM,,14/03/2020,2,12,9,13,3,-1
MX,Mexico,Campeche,,,MX-CAM,,15/03/2020,-2,9,2,-8,-2,0
MX,Mexico,Campeche,,,MX-CAM,,16/03/2020,-11,8,-10,-1,-51,10
MX,Mexico,Campeche,,,MX-CAM,,17/03/2020,-9,4,-11,2,4,0
MX,Mexico,Campeche,,,MX-CAM,,18/03/2020,-11,-1,-12,-12,-5,4
MX,Mexico,Campeche,,,MX-CAM,,19/03/2020,-18,1,-17,-6,-8,7
MX,Mexico,Campeche,,,MX-CAM,,20/03/2020,-24,-4,-25,-16,-10,8
MX,Mexico,Campeche,,,MX-CAM,,21/03/2020,-33,-8,-32,-24,-7,10
MX,Mexico,Campeche,,,MX-CAM,,22/03/2020,-41,-17,-42,-36,-13,11
MX,Mexico,Campeche,,,MX-CAM,,23/03/2020,-35,-19,-35,-35,-30,14
MX,Mexico,Campeche,,,MX-CAM,,24/03/2020,-40,-22,-40,-35,-37,15
MX,Mexico,Campeche,,,MX-CAM,,25/03/2020,-43,-27,-43,-41,-40,17
MX,Mexico,Campeche,,,MX-CAM,,26/03/2020,-44,-25,-43,-44,-41,19
MX,Mexico,Campeche,,,MX-CAM,,27/03/2020,-43,-21,-42,-48,-37,18
MX,Mexico,Campeche,,,MX-CAM,,28/03/2020,-45,-20,-43,-46,-20,14
MX,Mexico,Campeche,,,MX-CAM,,29/03/2020,-50,-24,-52,-51,-23,14
MX,Mexico,Campeche,,,MX-CAM,,30/03/2020,-39,-21,-40,-49,-40,17
MX,Mexico,Campeche,,,MX-CAM,,31/03/2020,-39,-18,-45,-47,-45,17
MX,Mexico,Campeche,,,MX-CAM,,01/04/2020,-41,-19,-44,-46,-49,19
MX,Mexico,Campeche,,,MX-CAM,,02/04/2020,-48,-20,-47,-48,-49,21
MX,Mexico,Campeche,,,MX-CAM,,03/04/2020,-54,-20,-49,-51,-46,22
MX,Mexico,Campeche,,,MX-CAM,,04/04/2020,-55,-16,-50,-50,-28,16
MX,Mexico,Campeche,,,MX-CAM,,05/04/2020,-59,-29,-55,-55,-28,15
MX,Mexico,Campeche,,,MX-CAM,,06/04/2020,-52,-25,-47,-52,-49,20
MX,Mexico,Campeche,,,MX-CAM,,07/04/2020,-54,-26,-51,-53,-53,20
MX,Mexico,Campeche,,,MX-CAM,,08/04/2020,-55,-27,-51,-48,-54,21
MX,Mexico,Campeche,,,MX-CAM,,09/04/2020,-59,-27,-54,-54,-63,25
MX,Mexico,Campeche,,,MX-CAM,,10/04/2020,-70,-38,-64,-67,-68,29
MX,Mexico,Campeche,,,MX-CAM,,11/04/2020,-64,-34,-58,-62,-42,20
MX,Mexico,Campeche,,,MX-CAM,,12/04/2020,-65,-36,-63,-62,-31,16
MX,Mexico,Campeche,,,MX-CAM,,13/04/2020,-53,-28,-51,-56,-49,21
MX,Mexico,Campeche,,,MX-CAM,,14/04/2020,-54,-28,-54,-59,-52,22
MX,Mexico,Campeche,,,MX-CAM,,15/04/2020,-51,-21,-51,-54,-52,21
MX,Mexico,Campeche,,,MX-CAM,,16/04/2020,-53,-20,-53,-54,-53,23
MX,Mexico,Campeche,,,MX-CAM,,17/04/2020,-57,-26,-55,-58,-49,25
MX,Mexico,Campeche,,,MX-CAM,,18/04/2020,-62,-29,-56,-58,-29,18
MX,Mexico,Campeche,,,MX-CAM,,19/04/2020,-65,-33,-62,-63,-28,16
MX,Mexico,Campeche,,,MX-CAM,,20/04/2020,-58,-31,-55,-59,-48,21
MX,Mexico,Campeche,,,MX-CAM,,21/04/2020,-63,-35,-60,-59,-52,22
MX,Mexico,Campeche,,,MX-CAM,,22/04/2020,-64,-35,-59,-60,-54,23
MX,Mexico,Campeche,,,MX-CAM,,23/04/2020,-65,-35,-60,-60,-54,25
MX,Mexico,Campeche,,,MX-CAM,,24/04/2020,-66,-35,-61,-65,-50,25
MX,Mexico,Campeche,,,MX-CAM,,25/04/2020,-66,-34,-63,-64,-32,20
MX,Mexico,Campeche,,,MX-CAM,,26/04/2020,-69,-37,-66,-64,-30,17
MX,Mexico,Campeche,,,MX-CAM,,27/04/2020,-62,-35,-60,-61,-49,23
MX,Mexico,Campeche,,,MX-CAM,,28/04/2020,-63,-35,-61,-59,-52,17
MX,Mexico,Campeche,,,MX-CAM,,29/04/2020,-60,-26,-57,-58,-52,22
MX,Mexico,Campeche,,,MX-CAM,,30/04/2020,-54,-14,-53,-50,-51,21
MX,Mexico,Campeche,,,MX-CAM,,01/05/2020,-65,-27,-60,-63,-61,27
MX,Mexico,Campeche,,,MX-CAM,,02/05/2020,-64,-28,-59,-58,-32,19
MX,Mexico,Campeche,,,MX-CAM,,03/05/2020,-69,-33,-64,-64,-25,16
MX,Mexico,Campeche,,,MX-CAM,,04/05/2020,-59,-27,-56,-58,-48,22
MX,Mexico,Campeche,,,MX-CAM,,05/05/2020,-62,-31,-60,-59,-54,23
MX,Mexico,Campeche,,,MX-CAM,,06/05/2020,-61,-30,-56,-60,-52,23
MX,Mexico,Campeche,,,MX-CAM,,07/05/2020,-63,-29,-60,-60,-52,24
MX,Mexico,Campeche,,,MX-CAM,,08/05/2020,-63,-27,-60,-62,-47,25
MX,Mexico,Campeche,,,MX-CAM,,09/05/2020,-63,-23,-58,-58,-27,18
MX,Mexico,Campeche,,,MX-CAM,,10/05/2020,-62,-24,-61,-64,-12,13
MX,Mexico,Campeche,,,MX-CAM,,11/05/2020,-61,-31,-59,-60,-47,22
MX,Mexico,Campeche,,,MX-CAM,,12/05/2020,-61,-31,-60,-58,-50,22
MX,Mexico,Campeche,,,MX-CAM,,13/05/2020,-59,-28,-57,-58,-50,23
MX,Mexico,Campeche,,,MX-CAM,,14/05/2020,-59,-25,-55,-58,-50,23
MX,Mexico,Campeche,,,MX-CAM,,15/05/2020,-57,-18,-54,-59,-44,23
MX,Mexico,Campeche,,,MX-CAM,,16/05/2020,-60,-19,-56,-54,-25,17
MX,Mexico,Campeche,,,MX-CAM,,17/05/2020,-65,-25,-61,-60,-19,15
MX,Mexico,Campeche,,,MX-CAM,,18/05/2020,-55,-22,-54,-58,-44,21
MX,Mexico,Campeche,,,MX-CAM,,19/05/2020,-57,-26,-57,-57,-48,21
MX,Mexico,Campeche,,,MX-CAM,,20/05/2020,-58,-27,-56,-57,-49,22
MX,Mexico,Campeche,,,MX-CAM,,21/05/2020,-59,-27,-58,-57,-49,24
MX,Mexico,Campeche,,,MX-CAM,,22/05/2020,-62,-28,-60,-62,-44,24
MX,Mexico,Campeche,,,MX-CAM,,23/05/2020,-62,-25,-59,-56,-22,18
MX,Mexico,Campeche,,,MX-CAM,,24/05/2020,-66,-29,-63,-62,-18,16
MX,Mexico,Campeche,,,MX-CAM,,25/05/2020,-58,-27,-56,-57,-45,21
MX,Mexico,Campeche,,,MX-CAM,,26/05/2020,-59,-29,-58,-58,-47,21
MX,Mexico,Campeche,,,MX-CAM,,27/05/2020,-59,-27,-56,-58,-47,22
MX,Mexico,Campeche,,,MX-CAM,,28/05/2020,-59,-28,-58,-56,-48,23
MX,Mexico,Campeche,,,MX-CAM,,29/05/2020,-59,-22,-57,-56,-43,24
MX,Mexico,Campeche,,,MX-CAM,,30/05/2020,-59,-19,-57,-55,-19,17
MX,Mexico,Campeche,,,MX-CAM,,31/05/2020,-66,-24,-65,-61,-17,16
MX,Mexico,Campeche,,,MX-CAM,,01/06/2020,-61,-28,-64,-54,-47,23
MX,Mexico,Campeche,,,MX-CAM,,02/06/2020,-69,-42,-70,-60,-56,26
MX,Mexico,Campeche,,,MX-CAM,,03/06/2020,-74,-47,-71,-66,-67,28
MX,Mexico,Campeche,,,MX-CAM,,04/06/2020,-61,-28,-64,-59,-52,25
MX,Mexico,Campeche,,,MX-CAM,,05/06/2020,-62,-27,-63,-62,-46,25
MX,Mexico,Campeche,,,MX-CAM,,06/06/2020,-59,-24,-59,-54,-19,17
MX,Mexico,Campeche,,,MX-CAM,,07/06/2020,-63,-26,-61,-56,-11,15
MX,Mexico,Campeche,,,MX-CAM,,08/06/2020,-53,-22,-53,-47,-39,19
MX,Mexico,Campeche,,,MX-CAM,,09/06/2020,-54,-23,-55,-48,-43,18
MX,Mexico,Campeche,,,MX-CAM,,10/06/2020,-52,-22,-52,-49,-44,19
MX,Mexico,Campeche,,,MX-CAM,,11/06/2020,-54,-23,-56,-50,-44,21
MX,Mexico,Campeche,,,MX-CAM,,12/06/2020,-55,-17,-53,-55,-39,20
MX,Mexico,Campeche,,,MX-CAM,,13/06/2020,-55,-16,-54,-52,-14,15
MX,Mexico,Campeche,,,MX-CAM,,14/06/2020,-61,-22,-58,-56,-10,14
MX,Mexico,Campeche,,,MX-CAM,,15/06/2020,-48,-15,-50,-51,-38,18
MX,Mexico,Campeche,,,MX-CAM,,16/06/2020,-49,-16,-52,-51,-41,19
MX,Mexico,Campeche,,,MX-CAM,,17/06/2020,-51,-19,-52,-50,-43,19
MX,Mexico,Campeche,,,MX-CAM,,18/06/2020,-50,-19,-54,-51,-44,21
MX,Mexico,Campeche,,,MX-CAM,,19/06/2020,-52,-19,-55,-53,-38,19
MX,Mexico,Campeche,,,MX-CAM,,20/06/2020,-53,-13,-51,-48,-13,15
MX,Mexico,Campeche,,,MX-CAM,,21/06/2020,-57,-21,-58,-54,1,12
MX,Mexico,Campeche,,,MX-CAM,,22/06/2020,-51,-23,-53,-52,-41,19
MX,Mexico,Campeche,,,MX-CAM,,23/06/2020,-48,-17,-52,-51,-44,19
MX,Mexico,Campeche,,,MX-CAM,,24/06/2020,-50,-16,-53,-50,-44,19
MX,Mexico,Campeche,,,MX-CAM,,25/06/2020,-54,-24,-55,-50,-45,22
MX,Mexico,Campeche,,,MX-CAM,,26/06/2020,-55,-23,-56,-53,-41,22
MX,Mexico,Campeche,,,MX-CAM,,27/06/2020,-56,-22,-55,-50,-18,16
MX,Mexico,Campeche,,,MX-CAM,,28/06/2020,-60,-26,-59,-55,-11,15
MX,Mexico,Campeche,,,MX-CAM,,29/06/2020,-47,-19,-52,-50,-41,19
MX,Mexico,Campeche,,,MX-CAM,,30/06/2020,-45,-17,-53,-49,-45,18
MX,Mexico,Campeche,,,MX-CAM,,01/07/2020,-46,-17,-54,-51,-46,19
MX,Mexico,Campeche,,,MX-CAM,,02/07/2020,-50,-23,-58,-53,-48,22
MX,Mexico,Campeche,,,MX-CAM,,03/07/2020,-52,-22,-58,-55,-43,22
MX,Mexico,Campeche,,,MX-CAM,,04/07/2020,-53,-23,-58,-54,-20,17
MX,Mexico,Campeche,,,MX-CAM,,05/07/2020,-57,-25,-61,-57,-14,15
MX,Mexico,Campeche,,,MX-CAM,,06/07/2020,-48,-19,-53,-53,-43,20
MX,Mexico,Campeche,,,MX-CAM,,07/07/2020,-49,-24,-55,-53,-47,20
MX,Mexico,Campeche,,,MX-CAM,,08/07/2020,-49,-24,-56,-51,-47,20
MX,Mexico,Campeche,,,MX-CAM,,09/07/2020,-51,-23,-56,-53,-48,22
MX,Mexico,Campeche,,,MX-CAM,,10/07/2020,-55,-26,-58,-56,-44,23
MX,Mexico,Campeche,,,MX-CAM,,11/07/2020,-54,-21,-56,-49,-19,16
MX,Mexico,Campeche,,,MX-CAM,,12/07/2020,-58,-27,-62,-55,-16,15
MX,Mexico,Campeche,,,MX-CAM,,13/07/2020,-47,-21,-52,-54,-43,20
MX,Mexico,Campeche,,,MX-CAM,,14/07/2020,-44,-18,-53,-52,-47,19
MX,Mexico,Campeche,,,MX-CAM,,15/07/2020,-43,-16,-52,-51,-46,19
MX,Mexico,Campeche,,,MX-CAM,,16/07/2020,-45,-17,-54,-52,-47,21
MX,Mexico,Campeche,,,MX-CAM,,17/07/2020,-48,-18,-55,-55,-43,22
MX,Mexico,Campeche,,,MX-CAM,,18/07/2020,-51,-21,-56,-52,-20,16
MX,Mexico,Campeche,,,MX-CAM,,19/07/2020,-55,-24,-59,-55,-14,15
MX,Mexico,Campeche,,,MX-CAM,,20/07/2020,-44,-20,-53,-52,-44,19
MX,Mexico,Campeche,,,MX-CAM,,21/07/2020,-46,-24,-58,-55,-48,20
MX,Mexico,Campeche,,,MX-CAM,,22/07/2020,-46,-22,-55,-51,-47,20
MX,Mexico,Campeche,,,MX-CAM,,23/07/2020,-46,-22,-54,-52,-47,21
MX,Mexico,Campeche,,,MX-CAM,,24/07/2020,-50,-23,-55,-55,-42,22
MX,Mexico,Campeche,,,MX-CAM,,25/07/2020,-50,-21,-53,-53,-18,16
MX,Mexico,Campeche,,,MX-CAM,,26/07/2020,-54,-25,-56,-52,-13,15
MX,Mexico,Campeche,,,MX-CAM,,27/07/2020,-46,-22,-52,-53,-43,20
MX,Mexico,Campeche,,,MX-CAM,,28/07/2020,-45,-23,-53,-51,-46,20
MX,Mexico,Campeche,,,MX-CAM,,29/07/2020,-45,-22,-54,-50,-46,20
MX,Mexico,Campeche,,,MX-CAM,,30/07/2020,-41,-16,-51,-50,-46,21
MX,Mexico,Campeche,,,MX-CAM,,31/07/2020,-43,-14,-51,-53,-41,20
MX,Mexico,Campeche,,,MX-CAM,,01/08/2020,-44,-14,-49,-45,-17,14
MX,Mexico,Campeche,,,MX-CAM,,02/08/2020,-48,-18,-55,-49,-11,13
MX,Mexico,Campeche,,,MX-CAM,,03/08/2020,-38,-15,-49,-50,-41,18
MX,Mexico,Campeche,,,MX-CAM,,04/08/2020,-40,-18,-52,-51,-45,19
MX,Mexico,Campeche,,,MX-CAM,,05/08/2020,-41,-21,-52,-51,-45,19
MX,Mexico,Campeche,,,MX-CAM,,06/08/2020,-43,-21,-52,-49,-45,20
MX,Mexico,Campeche,,,MX-CAM,,07/08/2020,-46,-20,-53,-57,-42,20
MX,Mexico,Campeche,,,MX-CAM,,08/08/2020,-47,-20,-52,-48,-16,15
MX,Mexico,Campeche,,,MX-CAM,,09/08/2020,-50,-24,-56,-54,-11,13
MX,Mexico,Campeche,,,MX-CAM,,10/08/2020,-42,-22,-50,-54,-40,18
MX,Mexico,Campeche,,,MX-CAM,,11/08/2020,-41,-21,-51,-53,-44,18
MX,Mexico,Campeche,,,MX-CAM,,12/08/2020,-42,-22,-50,-53,-43,18
MX,Mexico,Campeche,,,MX-CAM,,13/08/2020,-42,-22,-52,-52,-44,20
MX,Mexico,Campeche,,,MX-CAM,,14/08/2020,-40,-13,-48,-53,-38,18
MX,Mexico,Campeche,,,MX-CAM,,15/08/2020,-42,-14,-48,-47,-13,13
MX,Mexico,Campeche,,,MX-CAM,,16/08/2020,-45,-17,-53,-47,-8,11
MX,Mexico,Campeche,,,MX-CAM,,17/08/2020,-35,-12,-45,-50,-38,16
MX,Mexico,Campeche,,,MX-CAM,,18/08/2020,-35,-16,-46,-53,-40,16
MX,Mexico,Campeche,,,MX-CAM,,19/08/2020,-35,-17,-46,-51,-41,17
MX,Mexico,Campeche,,,MX-CAM,,20/08/2020,-35,-18,-46,-47,-42,18
MX,Mexico,Campeche,,,MX-CAM,,21/08/2020,-39,-19,-46,-50,-36,18
MX,Mexico,Campeche,,,MX-CAM,,22/08/2020,-39,-16,-44,-48,-12,13
MX,Mexico,Campeche,,,MX-CAM,,23/08/2020,-44,-20,-52,-49,-9,13
MX,Mexico,Campeche,,,MX-CAM,,24/08/2020,-32,-16,-40,-45,-37,16
MX,Mexico,Campeche,,,MX-CAM,,25/08/2020,-34,-19,-42,-48,-41,17
MX,Mexico,Campeche,,,MX-CAM,,26/08/2020,-33,-21,-41,-47,-40,17
MX,Mexico,Campeche,,,MX-CAM,,27/08/2020,-32,-17,-39,-45,-40,18
MX,Mexico,Campeche,,,MX-CAM,,28/08/2020,-33,-14,-40,-51,-35,17
MX,Mexico,Campeche,,,MX-CAM,,29/08/2020,-30,-9,-33,-42,-10,11
MX,Mexico,Campeche,,,MX-CAM,,30/08/2020,-33,-10,-38,-40,-4,10
MX,Mexico,Campeche,,,MX-CAM,,31/08/2020,-22,-9,-29,-44,-35,14
MX,Mexico,Campeche,,,MX-CAM,,01/09/2020,-22,-9,-28,-44,-39,15
MX,Mexico,Campeche,,,MX-CAM,,02/09/2020,-26,-12,-30,-43,-39,15
MX,Mexico,Campeche,,,MX-CAM,,03/09/2020,-29,-14,-36,-43,-40,17
MX,Mexico,Campeche,,,MX-CAM,,04/09/2020,-35,-16,-38,-48,-35,17
MX,Mexico,Campeche,,,MX-CAM,,05/09/2020,-32,-11,-32,-42,-12,12
MX,Mexico,Campeche,,,MX-CAM,,06/09/2020,-33,-11,-35,-43,-7,10
MX,Mexico,Campeche,,,MX-CAM,,07/09/2020,-27,-12,-28,-43,-36,15
MX,Mexico,Campeche,,,MX-CAM,,08/09/2020,-25,-15,-29,-46,-40,15
MX,Mexico,Campeche,,,MX-CAM,,09/09/2020,-24,-15,-23,-44,-38,15
MX,Mexico,Campeche,,,MX-CAM,,10/09/2020,-24,-15,-27,-42,-39,16
MX,Mexico,Campeche,,,MX-CAM,,11/09/2020,-26,-12,-25,-47,-34,16
MX,Mexico,Chiapas,,,MX-CHP,,15/02/2020,5,2,2,-1,2,-1
MX,Mexico,Chiapas,,,MX-CHP,,16/02/2020,5,3,-3,8,2,0
MX,Mexico,Chiapas,,,MX-CHP,,17/02/2020,0,2,0,0,13,-3
MX,Mexico,Chiapas,,,MX-CHP,,18/02/2020,-2,-2,-4,-6,14,-2
MX,Mexico,Chiapas,,,MX-CHP,,19/02/2020,-3,-2,-4,-5,14,-2
MX,Mexico,Chiapas,,,MX-CHP,,20/02/2020,-3,-3,-3,-4,14,-1
MX,Mexico,Chiapas,,,MX-CHP,,21/02/2020,-7,-6,-9,-4,12,-1
MX,Mexico,Chiapas,,,MX-CHP,,22/02/2020,-6,-6,-5,-6,2,2
MX,Mexico,Chiapas,,,MX-CHP,,23/02/2020,-3,-3,-4,1,1,1
MX,Mexico,Chiapas,,,MX-CHP,,24/02/2020,-8,-6,-3,-3,13,-2
MX,Mexico,Chiapas,,,MX-CHP,,25/02/2020,-6,-6,-4,-5,13,-2
MX,Mexico,Chiapas,,,MX-CHP,,26/02/2020,-6,-5,-1,-6,10,-1
MX,Mexico,Chiapas,,,MX-CHP,,27/02/2020,-4,-3,-9,-3,12,0
MX,Mexico,Chiapas,,,MX-CHP,,28/02/2020,0,3,-4,1,14,-2
MX,Mexico,Chiapas,,,MX-CHP,,29/02/2020,2,5,2,-2,5,0
MX,Mexico,Chiapas,,,MX-CHP,,01/03/2020,0,7,-4,-1,4,0
MX,Mexico,Chiapas,,,MX-CHP,,02/03/2020,-3,2,-1,0,14,-3
MX,Mexico,Chiapas,,,MX-CHP,,03/03/2020,-5,-1,-7,-9,12,-2
MX,Mexico,Chiapas,,,MX-CHP,,04/03/2020,-5,0,-7,-8,13,-2
MX,Mexico,Chiapas,,,MX-CHP,,05/03/2020,-4,-1,-7,-7,14,-1
MX,Mexico,Chiapas,,,MX-CHP,,06/03/2020,-7,-3,-8,-5,14,-1
MX,Mexico,Chiapas,,,MX-CHP,,07/03/2020,-3,-3,-2,-8,4,1
MX,Mexico,Chiapas,,,MX-CHP,,08/03/2020,-4,-3,-5,-8,3,1
MX,Mexico,Chiapas,,,MX-CHP,,09/03/2020,-10,-5,-8,-7,-7,3
MX,Mexico,Chiapas,,,MX-CHP,,10/03/2020,-7,-2,-4,-8,14,-2
MX,Mexico,Chiapas,,,MX-CHP,,11/03/2020,-7,-4,-5,-8,14,-1
MX,Mexico,Chiapas,,,MX-CHP,,12/03/2020,-4,-1,-3,-3,15,-2
MX,Mexico,Chiapas,,,MX-CHP,,13/03/2020,2,5,2,4,10,-3
MX,Mexico,Chiapas,,,MX-CHP,,14/03/2020,3,8,5,1,4,-1
MX,Mexico,Chiapas,,,MX-CHP,,15/03/2020,0,5,-2,-14,2,0
MX,Mexico,Chiapas,,,MX-CHP,,16/03/2020,-6,7,-8,6,-43,7
MX,Mexico,Chiapas,,,MX-CHP,,17/03/2020,-5,5,-5,0,12,-2
MX,Mexico,Chiapas,,,MX-CHP,,18/03/2020,-8,5,-6,-6,7,1
MX,Mexico,Chiapas,,,MX-CHP,,19/03/2020,-10,6,-8,-7,3,2
MX,Mexico,Chiapas,,,MX-CHP,,20/03/2020,-17,1,-13,-12,-3,4
MX,Mexico,Chiapas,,,MX-CHP,,21/03/2020,-25,-6,-19,-20,-3,6
MX,Mexico,Chiapas,,,MX-CHP,,22/03/2020,-34,-15,-28,-29,-6,7
MX,Mexico,Chiapas,,,MX-CHP,,23/03/2020,-28,-13,-22,-28,-24,9
MX,Mexico,Chiapas,,,MX-CHP,,24/03/2020,-31,-16,-27,-31,-28,10
MX,Mexico,Chiapas,,,MX-CHP,,25/03/2020,-34,-16,-29,-34,-30,12
MX,Mexico,Chiapas,,,MX-CHP,,26/03/2020,-35,-18,-31,-39,-31,13
MX,Mexico,Chiapas,,,MX-CHP,,27/03/2020,-38,-19,-33,-44,-29,13
MX,Mexico,Chiapas,,,MX-CHP,,28/03/2020,-38,-17,-32,-40,-13,10
MX,Mexico,Chiapas,,,MX-CHP,,29/03/2020,-46,-22,-41,-49,-16,11
MX,Mexico,Chiapas,,,MX-CHP,,30/03/2020,-32,-15,-30,-40,-35,12
MX,Mexico,Chiapas,,,MX-CHP,,31/03/2020,-35,-16,-36,-43,-38,13
MX,Mexico,Chiapas,,,MX-CHP,,01/04/2020,-37,-14,-35,-42,-40,14
MX,Mexico,Chiapas,,,MX-CHP,,02/04/2020,-46,-16,-38,-47,-41,16
MX,Mexico,Chiapas,,,MX-CHP,,03/04/2020,-54,-15,-39,-45,-39,16
MX,Mexico,Chiapas,,,MX-CHP,,04/04/2020,-56,-15,-39,-45,-22,13
MX,Mexico,Chiapas,,,MX-CHP,,05/04/2020,-63,-22,-47,-51,-23,13
MX,Mexico,Chiapas,,,MX-CHP,,06/04/2020,-53,-16,-39,-47,-45,16
MX,Mexico,Chiapas,,,MX-CHP,,07/04/2020,-52,-17,-41,-48,-47,15
MX,Mexico,Chiapas,,,MX-CHP,,08/04/2020,-53,-16,-42,-46,-48,16
MX,Mexico,Chiapas,,,MX-CHP,,09/04/2020,-60,-20,-47,-54,-58,19
MX,Mexico,Chiapas,,,MX-CHP,,10/04/2020,-73,-37,-57,-66,-67,23
MX,Mexico,Chiapas,,,MX-CHP,,11/04/2020,-69,-33,-53,-61,-47,17
MX,Mexico,Chiapas,,,MX-CHP,,12/04/2020,-68,-33,-56,-60,-31,13
MX,Mexico,Chiapas,,,MX-CHP,,13/04/2020,-54,-20,-44,-50,-45,16
MX,Mexico,Chiapas,,,MX-CHP,,14/04/2020,-54,-20,-44,-51,-46,16
MX,Mexico,Chiapas,,,MX-CHP,,15/04/2020,-51,-14,-42,-50,-45,17
MX,Mexico,Chiapas,,,MX-CHP,,16/04/2020,-50,-16,-43,-55,-45,18
MX,Mexico,Chiapas,,,MX-CHP,,17/04/2020,-55,-20,-45,-59,-42,19
MX,Mexico,Chiapas,,,MX-CHP,,18/04/2020,-59,-27,-46,-58,-25,14
MX,Mexico,Chiapas,,,MX-CHP,,19/04/2020,-64,-31,-53,-63,-24,13
MX,Mexico,Chiapas,,,MX-CHP,,20/04/2020,-53,-25,-43,-55,-42,16
MX,Mexico,Chiapas,,,MX-CHP,,21/04/2020,-55,-26,-46,-55,-43,16
MX,Mexico,Chiapas,,,MX-CHP,,22/04/2020,-56,-27,-48,-56,-43,17
MX,Mexico,Chiapas,,,MX-CHP,,23/04/2020,-56,-27,-48,-58,-43,18
MX,Mexico,Chiapas,,,MX-CHP,,24/04/2020,-59,-29,-50,-61,-40,19
MX,Mexico,Chiapas,,,MX-CHP,,25/04/2020,-61,-29,-51,-59,-24,15
MX,Mexico,Chiapas,,,MX-CHP,,26/04/2020,-66,-35,-57,-66,-25,14
MX,Mexico,Chiapas,,,MX-CHP,,27/04/2020,-56,-28,-47,-57,-42,17
MX,Mexico,Chiapas,,,MX-CHP,,28/04/2020,-55,-27,-47,-56,-43,12
MX,Mexico,Chiapas,,,MX-CHP,,29/04/2020,-52,-21,-45,-54,-42,16
MX,Mexico,Chiapas,,,MX-CHP,,30/04/2020,-44,-9,-38,-49,-40,15
MX,Mexico,Chiapas,,,MX-CHP,,01/05/2020,-60,-24,-50,-62,-51,20
MX,Mexico,Chiapas,,,MX-CHP,,02/05/2020,-58,-24,-46,-56,-24,14
MX,Mexico,Chiapas,,,MX-CHP,,03/05/2020,-65,-31,-55,-64,-21,13
MX,Mexico,Chiapas,,,MX-CHP,,04/05/2020,-52,-22,-43,-54,-41,16
MX,Mexico,Chiapas,,,MX-CHP,,05/05/2020,-55,-28,-49,-55,-45,17
MX,Mexico,Chiapas,,,MX-CHP,,06/05/2020,-52,-21,-45,-54,-41,17
MX,Mexico,Chiapas,,,MX-CHP,,07/05/2020,-53,-23,-46,-57,-42,18
MX,Mexico,Chiapas,,,MX-CHP,,08/05/2020,-55,-22,-45,-58,-38,18
MX,Mexico,Chiapas,,,MX-CHP,,09/05/2020,-55,-17,-42,-54,-20,13
MX,Mexico,Chiapas,,,MX-CHP,,10/05/2020,-60,-24,-48,-65,-9,9
MX,Mexico,Chiapas,,,MX-CHP,,11/05/2020,-54,-26,-46,-54,-41,16
MX,Mexico,Chiapas,,,MX-CHP,,12/05/2020,-53,-24,-45,-54,-41,16
MX,Mexico,Chiapas,,,MX-CHP,,13/05/2020,-52,-23,-45,-55,-41,17
MX,Mexico,Chiapas,,,MX-CHP,,14/05/2020,-49,-18,-43,-53,-40,15
MX,Mexico,Chiapas,,,MX-CHP,,15/05/2020,-50,-15,-41,-55,-36,17
MX,Mexico,Chiapas,,,MX-CHP,,16/05/2020,-53,-16,-42,-52,-19,13
MX,Mexico,Chiapas,,,MX-CHP,,17/05/2020,-61,-27,-52,-62,-16,13
MX,Mexico,Chiapas,,,MX-CHP,,18/05/2020,-49,-18,-41,-50,-38,16
MX,Mexico,Chiapas,,,MX-CHP,,19/05/2020,-52,-22,-46,-50,-40,16
MX,Mexico,Chiapas,,,MX-CHP,,20/05/2020,-52,-21,-43,-47,-41,17
MX,Mexico,Chiapas,,,MX-CHP,,21/05/2020,-53,-23,-45,-51,-41,19
MX,Mexico,Chiapas,,,MX-CHP,,22/05/2020,-57,-25,-46,-55,-37,18
MX,Mexico,Chiapas,,,MX-CHP,,23/05/2020,-58,-26,-46,-53,-19,15
MX,Mexico,Chiapas,,,MX-CHP,,24/05/2020,-64,-31,-53,-62,-17,14
MX,Mexico,Chiapas,,,MX-CHP,,25/05/2020,-53,-23,-45,-50,-40,17
MX,Mexico,Chiapas,,,MX-CHP,,26/05/2020,-55,-26,-48,-52,-41,17
MX,Mexico,Chiapas,,,MX-CHP,,27/05/2020,-56,-27,-49,-53,-41,18
MX,Mexico,Chiapas,,,MX-CHP,,28/05/2020,-56,-26,-50,-51,-41,19
MX,Mexico,Chiapas,,,MX-CHP,,29/05/2020,-55,-20,-46,-53,-37,19
MX,Mexico,Chiapas,,,MX-CHP,,30/05/2020,-58,-22,-49,-51,-17,15
MX,Mexico,Chiapas,,,MX-CHP,,31/05/2020,-65,-30,-57,-61,-16,15
MX,Mexico,Chiapas,,,MX-CHP,,01/06/2020,-56,-25,-52,-49,-40,18
MX,Mexico,Chiapas,,,MX-CHP,,02/06/2020,-55,-24,-51,-48,-42,18
MX,Mexico,Chiapas,,,MX-CHP,,03/06/2020,-66,-41,-64,-57,-48,23
